index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
117,GPC1,3,-2.13183418868,0.671867879196,0.170238984328,0.325014607193,-0.94222593091,0.113948980663,0.264716577681,0.159734991231,1.3685380993
118,GPR153,3,-1.02953461593,2.363735161,0.568769189918,0.139576661391,-0.654339835922,-0.509858377435,-0.418622818521,-0.372690501597,-0.0870348629088
119,GRIA1,3,-1.84858613288,1.42149361698,-0.243028631535,0.176161309136,1.46534795812,-0.050684267518,-0.36026297998,-0.413148141768,-0.147292730553
120,GRIK3,3,-0.426461946631,2.55935464256,-0.246468695393,-0.214756126211,-0.532066866295,-0.535099180066,-0.538146954779,-0.420306031426,0.353951158241
121,GRM2,3,-0.520443742638,1.20505417861,2.00082777494,0.201210781909,-0.946473115272,-0.645191938939,-0.745075932728,-0.602645645061,0.0527376391783
122,GRM3,3,-1.36426917974,1.37786726417,1.29778189186,-0.467433985247,-0.314494761725,-1.09355095912,-0.440688030955,0.087813839807,0.916973920959
123,KALRN,3,-1.79882330516,-0.194861293209,1.31730924579,0.0966262910222,-0.177924103973,-0.809464368925,-0.394899165509,0.653913935628,1.30812276434
124,KCNC1,3,-1.84862138819,0.724467565461,0.828277137469,0.587770655071,-0.311685606156,-0.941694870455,0.108083767974,-0.486113230049,1.33951596887
125,MAP2,3,-2.10123346768,0.823373810335,1.3615854526,-0.141844023899,0.442611030372,-0.417365242959,0.675189286668,-0.304209929002,-0.338106916428
126,MED12,3,-2.50248819033,0.402100730728,0.309969915895,0.390696103287,0.180543573198,0.766763371868,0.52807299095,-0.498751056624,0.42309256103
127,MYT1,3,-1.22995818792,-0.6866720554,1.56856150205,0.473036993936,-0.60628675881,-0.584768771352,-0.398584586855,-0.101479246117,1.56615111047
128,NCAN,3,-0.738598407002,2.37621675025,0.11493208186,-0.503967582434,-0.567633620659,-0.593349714039,-0.484149337344,-0.327831237402,0.724381066767
129,NPY,3,-0.645868255759,2.16728762326,-0.0642562321043,-0.514157845962,-0.603672224664,-0.683776239482,-0.592171317079,-0.237373658601,1.17398815039
130,NRG2,3,-1.0286956725,2.48835532797,0.277207764505,-0.0466673393025,-0.340226682137,-0.578337108258,-0.371866765781,-0.234743448288,-0.165026076212
131,NRXN1,3,-0.614203552526,1.645720646,0.204259984245,-1.00556937025,-0.651886803919,-0.948200643438,-0.48973675246,0.396659134535,1.46295735782
132,PCM1,3,-1.82962641408,1.09464298718,0.374246346019,0.65074774218,-0.824445990402,-1.03779777516,0.495498866123,0.931278123464,0.14545611467
133,PDE10A,3,-1.99289109009,1.27623225616,1.16370511856,0.352032975988,-0.028293941197,-0.0524892347925,0.465667364098,-0.582157586146,-0.601805862587
134,PLCB1,3,-2.22265605859,1.55557113111,0.181575033009,0.354717673349,0.0020642267772,-0.231585629803,0.578622398093,-0.294808603113,0.0764998291747
135,POMC,3,-0.256711234227,-0.643643060501,2.53311455531,0.273741562646,-0.0891949862367,-0.07317825142,-0.583124271266,-0.559183940455,-0.601820373853
136,POU3F1,3,-0.242839075352,2.58742083761,0.284552373461,-0.376217745667,-0.368145964005,-0.462346070661,-0.468956290894,-0.478568363009,-0.474899701485
137,PTPN21,3,-1.01354063019,1.9447482996,0.97627838713,0.113501039364,-1.31621024393,-0.361296759218,-0.368688150447,-0.323174199476,0.348382257176
138,PVALB,3,-1.49048406851,0.326901929668,1.93747797938,-0.300524603172,-1.04789982441,0.0135295975278,0.780624239427,-0.328544757726,0.108919507813
139,RBFOX1,3,-1.42442640603,-0.676632122022,1.2967865822,0.590030136535,1.58064059247,-0.10931695947,0.0872100268527,-0.496295669681,-0.847996180855
140,ROBO2,3,-1.13615034038,-0.888388463053,0.485233340048,1.01356143697,1.75273804408,0.494324608396,-0.103752386342,-0.912941328168,-0.70462491155
141,SLC1A6,3,-1.99341581631,0.991567742988,1.38003217598,0.25274515036,0.204944843144,-0.409446825666,0.577125136957,-0.382535598568,-0.621016808879
142,SLC6A3,3,-0.442286182504,-0.689575076975,0.456649926862,2.34437305938,-0.562260430098,-0.604490015038,-0.647180228448,-0.434265655929,0.579034602749
143,SNAPIN,3,-2.18951019342,-0.0751926363517,1.00115644546,1.04719775616,0.973161162996,-0.215929535669,-0.122481771006,-0.157946248776,-0.260454979398
144,SOX10,3,-0.671277592834,1.09449904775,1.59315725078,1.27554283128,-0.571766937305,-0.604691178003,-0.669564906297,-0.715828365589,-0.730070149784
145,SST,3,-0.412042583924,-0.411307664313,-0.267001125388,2.65819171694,-0.340403139004,-0.380845438286,-0.35839298937,-0.331397746985,-0.15680102967
146,ABCA13,4,-1.41469622189,-1.34468498834,-0.256832232413,-0.382462899256,1.43013841614,0.00110753135131,0.0975485870872,1.23089224049,0.638989566824
147,AHI1,4,-2.13458465678,-1.00098077642,0.0349929139467,0.790529513149,0.0846921050237,0.25414417304,0.974861805655,0.883500410765,0.112844511618
148,AVPR1A,4,-0.92177889727,-1.00741106315,-0.534045989233,-0.0338555298598,2.14441954418,0.906345722606,-0.518767923033,-0.299736637683,0.264830773443
149,BACE1,4,-2.13515481853,-0.640541579743,-0.10479596797,-0.12879249724,0.0288348354373,0.483532005452,0.457910954594,0.529524615471,1.50948245253
150,BAIAP2,4,-1.9857458711,-1.19028330203,0.780461677369,1.28786591679,0.14884247917,0.471688901437,0.216092062453,-0.0131854864221,0.284263622332
151,BLOC1S3,4,-0.226077629748,-1.41391579223,-0.948463612753,-0.180770411737,-0.529079524297,1.89495879594,0.741939221171,-0.103732618792,0.765141572451
152,BMP7,4,-2.11544072466,-1.28292437396,0.31493996896,0.649393583408,0.41706784753,0.23820341743,0.807408040052,0.442319506362,0.529032734875
153,CCDC60,4,-1.57359302942,-1.1588923197,-0.885690832034,0.79946112811,0.128741034445,0.414519698703,0.518474208512,1.4935027907,0.263477320689
154,CHRNA7,4,-1.66535553659,-0.571910102313,0.0987289121598,-1.29355029864,1.08381128386,0.715286254377,0.766551660936,0.965783449785,-0.0993456235764
155,CNTN4,4,-2.12463694778,-0.887595012769,-0.0151455959715,-0.0190492924462,0.231742594645,0.295923950718,0.385819518531,0.808933835118,1.32400694996
156,CORT,4,-1.59819387687,-1.18529821083,-0.398632371875,0.284476633549,1.59362410074,0.268916992489,1.03937743424,0.231039548064,-0.235310249504
157,CPLX1,4,-0.399256133508,-0.717028860013,-0.41845080564,2.53068379981,-0.29854304144,-0.494032879918,-0.454663299538,-0.170592295733,0.421883515978
158,CYP2D6,4,-2.02044480883,-0.0976156427245,-0.949540134714,-0.0907604378841,1.25478272615,0.265935000495,1.07326313313,0.137185454697,0.427194709688
159,DBH,4,-1.7131346756,-0.051237260483,-1.20331362105,0.580283974071,0.200605297632,-0.235838070216,0.921323708813,1.52724558825,-0.0259349414149
160,DDC,4,-1.14147889811,-1.202447825,-0.70708388189,0.643049400639,1.94461802326,-0.456470277114,0.16717126252,0.511560269303,0.24108192639
161,DTNBP1,4,-2.4762724478,-0.0724697934815,-0.0872411580197,0.954794420979,0.148647748305,0.710158785227,0.0498371873807,0.14516995203,0.627375305377
162,F10,4,-2.19133207442,-0.0951685908048,-0.420613774801,1.29050529051,-0.121016607351,-0.147095657991,0.0770999053197,0.882031021841,0.725590487697
163,FABP3,4,-1.36613402898,-1.44666068877,-0.0727416572059,1.57601997829,0.49245861777,0.843232900319,-0.172938761297,-0.454579131841,0.601342771718
164,FBXO11,4,-2.46646964934,0.0975844474272,0.319411419466,-0.365593400619,0.490792720609,0.448839744764,1.06651815578,0.14152740591,0.267389156005
165,GABRA4,4,-1.08965927796,-1.10556200299,0.245199116673,1.3063006412,-0.267685344527,1.80870812535,0.0672695955907,-0.408031965163,-0.556538888171
166,GABRB1,4,-1.20489013743,-1.2528458236,0.589446189736,1.48252988652,-0.175842077794,1.44207900856,-0.101343906895,-0.32260273962,-0.456530399468
167,GAP43,4,-1.56906714888,-0.556512740211,0.651792586742,-0.39137901031,1.63532691967,-1.05857592746,0.0539696017511,0.404393368982,0.830052349713
168,GRIK1,4,-1.27174325896,-1.22504895707,0.0469710458321,0.570662610152,1.65398606867,-0.7217469102,-0.40592475132,0.346569859677,1.00627429322
169,GRIK2,4,-1.65054218705,-1.76062154909,0.151620532964,0.847768518575,0.0611328576478,0.404106101446,0.602151654888,0.650836065862,0.693548004761
170,GRIN2A,4,-1.30152906269,-0.869520781257,-0.844411973988,0.309503059096,1.56444912906,0.808318889455,1.05827907344,-0.00378217208195,-0.721306161038
171,HABP2,4,-1.16619034236,-1.32707124956,-1.068045106,1.41306637394,0.880304249397,0.3035256118,0.842757050816,0.340739609252,-0.219086197285
172,HSPA1B,4,-1.9768902703,-0.75557413074,-0.177184330461,-0.314625610325,0.622332650876,0.933151998382,1.44961258461,0.169432109625,0.0497449983314
173,IL1A,4,0.601644040525,-1.49923898496,-1.29121594733,-0.788894500912,0.785309374365,1.38598997049,0.574615156591,0.436822742437,-0.205031851199
174,IL1B,4,-0.669140188647,-0.793511248372,-0.793511248372,-0.450996440461,-0.588159902457,2.01790473178,-0.0284990136198,1.29254435744,0.013368952703
175,INSIG2,4,-1.36116024709,-0.78550058319,-0.649879166298,-0.440011460995,1.88650516516,1.12754630246,0.0499132107794,0.268819784674,-0.0962330055091
176,LRRTM1,4,-1.3703612862,0.0841963475406,-1.32943971915,-0.611240100798,-0.299244913403,1.30355625693,1.3204183699,0.319187111701,0.582927933482
177,MAP6,4,-1.99939461925,-1.30782406465,0.216983753387,0.777305592608,0.906019692704,0.631202975645,0.535744329076,0.349795889442,-0.109833548966
178,MTHFR,4,-1.36155411946,-0.925610623685,-1.10982678487,-0.231439301529,-0.208077192997,1.40471324664,0.883386463146,0.709148441407,0.839259871347
179,NLGN1,4,-2.30469150868,-0.784699188586,1.03300598969,0.423072117321,0.536070914665,0.476965938162,0.349334465018,-0.141066120264,0.412007392667
180,NLGN2,4,-2.10864000915,0.30930148001,-0.15289381409,-0.552400969122,0.288033742078,0.638301911759,1.62397772773,-0.00404115743177,-0.0416389117798
181,NRXN2,4,-1.32685891692,-0.843852657722,-0.972699786128,-0.50821504181,0.147445883883,0.520871467721,1.83525924969,0.537298597155,0.610751204134
182,NRXN3,4,-1.38235092931,0.524649168432,-0.674654433676,-0.96409292302,-0.479599337477,0.136061653212,1.91879325762,0.653755712862,0.267437831357
183,NTRK3,4,-2.09466838958,-0.0157481865912,0.0147270866577,0.604986387247,0.162942045691,0.390461191913,1.66740166352,-0.46537098211,-0.264730816744
184,NXPH1,4,-1.12807145638,-1.6989817408,-0.34881244902,1.44692328195,-0.0884673182188,-0.230482219938,0.907183860437,0.783802176343,0.356905865626
185,PDE4B,4,-0.860735489045,-1.6222735905,-0.366094809762,0.484004018552,1.81974716636,-0.0911666638645,-0.144856875327,-0.162949157622,0.94432540121
186,RAB3A,4,-0.897962914342,-0.994064598256,-0.614779599596,-0.173281156827,-0.184320782568,2.32848105949,0.53240657498,-0.168909597875,0.172431014991
187,RHOBTB3,4,-1.26078742549,-1.63338760623,-0.852932804953,0.77049308822,0.738162913538,1.21284707295,0.494077053421,0.165637608268,0.365890100277
188,RIC3,4,-2.22807091226,-0.173920981169,-0.143244296734,-0.0476196454809,1.54433703281,0.429990422752,0.624625498268,0.103301588997,-0.109398707179
189,SLC17A6,4,-1.12712697534,-1.19324779536,1.09921629393,1.6114911668,-0.907185470506,-0.17512873048,-0.336233434591,0.462907965956,0.565306979598
190,SLC32A1,4,-0.990375351599,-1.00941398458,-1.27356140348,0.958865387829,-0.23857316214,0.593163180979,1.34231155127,1.03597608792,-0.418392306199
191,SNCA,4,-1.65815888911,-1.44083608327,1.20316781414,1.26340492411,0.283645542446,0.0424950779132,0.111401953909,0.189731830383,0.00514782947734
192,SRGAP3,4,-1.93792489278,-0.911482896955,-0.603959301364,-0.0257621660189,0.207891325437,0.449096584185,1.23391825615,0.892925536838,0.69529755451
193,SRPX2,4,-1.07615859392,-1.279906109,-1.21119144142,-0.379687227634,1.37744467179,0.63054937468,0.780830343256,0.67210190903,0.486017073217
194,SYNGR1,4,-2.348482504,-0.185942920629,-0.0781948447018,1.16146762324,0.14699010109,0.0764799757466,0.284509801594,-0.0488678152033,0.992040582856
195,SYT1,4,-1.51881027353,-0.551973885174,0.619335943452,-0.57625370428,0.0808471562217,0.760606333673,0.441431232334,-0.972135696168,1.71695289347
196,TDO2,4,-1.5231418938,-1.29775494197,-0.963685957956,0.306736664101,0.445190580135,0.967490008418,0.345311178236,1.206821965,0.513032397835
197,TNXB,4,-1.85118463205,-0.143101756395,-0.828227662773,1.00966984901,-0.366185067502,1.56813596202,0.384901305029,-0.0875232916328,0.313515294294
198,TRH,4,-0.947136105387,-0.932004724101,-0.496097165343,0.0565793803148,1.21639236148,1.41738240302,1.17425682466,-0.679846315145,-0.809526659502
199,AKAP9,5,-1.70143550717,-0.38333551032,-0.970071321565,-0.549504976517,0.341540040148,0.101929868212,0.67344881793,1.3868120104,1.10061657888
200,AMPD3,5,-0.670294772488,-1.39692567475,-1.15715893408,-0.364489313628,0.419333353486,-0.0408678706289,0.603240600091,1.60966626991,0.997496342083
201,ANKS1B,5,-1.54204169634,-1.39167128383,0.502244615768,0.646960873924,-0.404498298856,-0.278809233571,0.188285958131,0.87554968143,1.40397938335
202,APH1B,5,-1.24835848761,-1.78189878318,-0.594853939076,0.457073043366,0.0965562398697,0.49158578182,0.653828667163,1.25486524716,0.671202230489
203,ATXN1,5,-1.21559558,-1.43591844026,-1.05836314721,-0.0660061166284,0.328744810162,0.494266073623,0.833510380965,0.913023383619,1.20633863573
204,CALB1,5,-0.593468556327,-0.975818625354,-0.95588224351,-0.874862171252,-0.208698850991,0.0132829613292,1.69531665677,1.33307951522,0.567051314116
205,DLG2,5,-0.987851224604,-1.36274221522,-1.03283019328,-0.187355696446,0.753368906836,0.416630498331,0.0435205465686,0.657156947179,1.70010243063
206,EGFR,5,-1.02825035491,-1.49647277455,-0.931857782979,0.278342633638,0.0451237682431,0.588853927606,0.244793932212,0.556035471853,1.74343117889
207,FOXP2,5,-1.53837104067,-1.40117521711,0.0293224202971,0.419578162955,-0.0365918185682,0.300763863222,-0.329970567963,1.16678824782,1.38965595002
208,GABRA2,5,-1.39218428287,-1.31586879641,-0.390792638994,-0.457622798021,0.192879094482,0.473576790565,0.246791561291,1.04549234246,1.5977287275
209,GAD1,5,-1.07294333945,-0.673268600217,-0.661974806909,-0.865067441926,-0.348191361054,-0.100251923434,1.22631251304,1.72745625379,0.767928706156
210,GRIK5,5,-0.962428611847,-0.259583292229,-1.26608092764,-0.839250496785,-0.304846272702,0.0118913079581,1.58558286873,0.912796118846,1.12191930566
211,GRIN1,5,-0.752313955496,-1.3416334651,-1.33420819574,0.0506847986743,-0.20579752055,0.782480956566,0.7174416786,0.535784221947,1.54756148109
212,GRIN2C,5,-0.508819432807,-1.05594914741,-1.16076627534,-0.0335687845028,-0.31916043976,1.54985639088,0.0646285010714,-0.189562834676,1.65334202254
213,GRIN2D,5,-0.582145396322,-1.21725735112,-1.14892325631,-0.605592418946,-0.3733700082,0.761996554795,1.59196441387,0.803249758955,0.770077703282
214,HIST1H2BJ,5,-1.1214283147,-1.35621818439,-1.10608357049,0.53135068527,-0.268771813017,0.219595666372,1.23357864458,1.00634421406,0.86163267231
215,HIVEP2,5,-0.967495413984,-1.50276728152,-1.12616293773,-0.118915717711,0.147192772142,1.13779704619,0.967857185226,0.414372599375,1.04812174802
216,KCNH2,5,-1.33167906566,-0.677068699301,-0.975361327742,-0.48607005913,-0.5866695658,1.27594385151,0.868905899113,1.06898984237,0.843009124644
217,KCNN3,5,-1.6027130158,-0.894914627192,-0.268833802338,-0.597177008168,0.128481416133,-0.236565669056,0.944336161618,1.11627574119,1.41111080361
218,KIAA0513,5,-1.79857705172,-0.331342643511,-0.455005826772,-0.811411411286,-0.213544503166,0.674110773749,1.15856820409,0.459426033288,1.31777642532
219,KMO,5,-1.46655153485,-1.25327158725,-0.643354790777,-0.487746808182,0.186104979025,0.661088621655,0.721522134917,1.26404399358,1.01816499189
220,LPHN3,5,-1.89202999356,-0.551122453554,-0.486270893011,-0.574184244824,0.335414317486,0.0430695492136,1.38218594914,0.929035517039,0.81390225207
221,LRRC4B,5,-2.04461781935,0.112630115411,-0.709042241419,-0.430899129347,-0.131009130297,0.231598672069,1.10907047953,1.13555540481,0.726713648593
222,MAOA,5,-1.25400662823,-0.75655022547,-0.920960137398,-0.50654295708,-0.524434301648,0.380913850532,1.06435664491,1.37935190781,1.13787184658
223,MECP2,5,-1.9708548143,-0.639216277383,-0.326161972564,-0.31272147516,-0.129708200423,0.408369314803,1.02422275614,0.539019202576,1.40705146631
224,MEGF10,5,-1.27501085351,-1.15365370216,-0.991717679247,-0.119639804407,0.0916942909742,0.0802199880829,1.36378688555,0.717376328153,1.28694454657
225,NCAM1,5,-1.75957389225,-0.84080762472,-0.156315779328,-0.184718169429,0.276731379701,-0.178770606044,0.527701137513,0.426432353019,1.88932120154
226,NRN1,5,-1.1734562592,-1.09004645133,-0.783752480358,-0.626512459962,-0.32781250313,0.934846074791,0.735675468422,0.858544297854,1.47251431292
227,OXTR,5,-1.01109669919,-1.06242596675,-0.772958352269,-0.667641420913,-0.655830422939,0.916202513314,1.07977287691,1.14692941488,1.02704805697
228,RGS9,5,-0.58190441423,-1.28450065508,-1.27634946845,0.431078311356,-0.825103412785,0.4259838263,1.27157845303,0.805549548409,1.03366781146
229,RORA,5,-1.65721028886,-0.609460334579,-0.43029192769,-0.727447720107,0.829709632282,-0.137183817212,0.151942720738,1.05597611622,1.52396561921
230,SDCCAG8,5,-1.37707983098,-1.11344100086,-1.07374378671,0.308273288274,0.38496170204,-0.127286399911,0.461637196424,1.37097018265,1.16570864906
231,SHANK1,5,-1.44993275607,0.844562362881,-1.07403783401,-0.868188454714,-0.11453543004,-0.339095571114,1.20700034162,0.693986759501,1.10024058195
232,SLC12A5,5,-0.989585649146,-1.1466986982,-1.38482855642,-0.0585019892909,0.58288370358,0.252934927579,0.738329263208,0.360541474603,1.64492552409
233,SLC27A5,5,-1.35622431337,-0.632173421423,-1.4024065855,0.173080639065,0.73168853176,-0.24308474823,0.380305458669,1.53961678929,0.809197649733
234,SLC6A1,5,-1.11970129622,-0.982661864248,-0.981516678553,-0.70110204101,-0.0701414283264,0.353592759703,1.41487914674,0.951570838747,1.13508056317
235,ST8SIA4,5,-1.50595725346,-1.35223766562,-0.735499789024,-0.0138559061986,0.242446110726,0.375168140175,0.659754076778,1.0853644715,1.24481781512
